,name,address,cuisine,picture,menu,reviews,promos,lat,lng,restaurant_id
38,Korean Cuisine (S3) @ Cantine Paya Lebar Square,"60 Paya Lebar Road, B1-51, Paya Lebar Square",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.319229,103.892102,39
39,Fortune Popiah (S1) @ Bendemeer Market & Food Centre,"29 Bendemeer Road, 01-47",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.319079,103.863248,40
40,Korea Food (S7) @ Quad Cafe,"60 Nanyang Drive, B1, School of Biological Sciences",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.34468,103.6789743,41
41,PrimaDeli,90 HOUGANG AVENUE 10 B1-04 HOUGANG MALL 538766,,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3725894,103.8937225,42
42,Old Chang Kee,238 THOMSON ROAD 01-70 NOVENA SQUARE 307683,,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3200049,103.8439137,43
43,KFC MGMT PTE LTD,7 JLN BUKIT MERAH 01-4436 - 238895,Fast Food,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.2874633,103.8080322,44
44,KFC MGMT PTE LTD,3155 COMMONWEALTH AVE WEST B1-32/33 CLEMENTI MALL 129588,Fast Food,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.314918,103.7643089,45
45,Pezzo,"60 AIRPORT BOULEVARD  
CHANGI AIRPORT TERMINAL 2 TRANSIT LOUNGE NORTH",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3555415,103.9889883,46
46,McDonalds Restaurants Pte Ltd,"60 AIRPORT BOULEVARD 036-070 CHANGI AIRPORT TERMINAL 2 ,TRANSIT LOUNGE 819643",Fast Food,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.355052,103.989079,47
47,Simply Wrapps,"750 Chai Chee Road, 01-03, Viva Business Park",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3233077,103.9216954,48
48,Pizza Hut Singapore Pte Ltd,1 STADIUM DRIVE -111/139/426/624/617 P'ZA - 397629,,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.304013,103.8748426,49
49,Streats Hongkong Cafe,311 New Upper Changi Road 01-75 Bedok Mall 467360,,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3244894,103.92902,50
50,KFC MGMT PTE LTD,"30 Woodlands Avenue 1, 01-01/02/18/19, The Woodgrove",Fast Food,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.4286915,103.7819385,51
51,Sembawang Eating House (Seafood Restaurant),500 Gambas Avenue,,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.4345188,103.8232989,52
52,Three's A Crowd,"802 Tampines Avenue 4, 01-11",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3460914,103.93801,53
53,Streats Hongkong Cafe,1 JELEBU ROAD 02-17 BUKIT PANJANG PLAZA 677743,,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3800396,103.7642339,54
54,Warung Kampung,"12 Kallang Avenue, 01-42, Aperia",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3098281,103.8639058,55
55,Sarpino's,"293 Holland Road, 02-01, Cold Storage Jelita",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3174048,103.7856649,56
56,Seaview Restaurant,"2 Netheravon Road, 04-03, Club CSC @ Changi",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3914147,103.9862467,57
57,Subway,"50 Nanyang Avenue, B4-03, Nanyang Technological University",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3483099,103.6831347,58
58,Fortune Popiah (S1) @ Bendemeer Market & Food Centre,"29 Bendemeer Road, 01-47",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.319079,103.863248,59
59,Poulet,"201 VICTORIA STREET, 04-12, BUGIS+",European,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.2997818,103.8541438,60
60,Champion Bread,306 Woodlands Street 31 01-53,Bakery & Cakes,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.429942,103.774809,61
61,Wok Hey,"930 Yishun Avenue 2, B1-41, Northpoint City",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.4279686,103.8364152,62
62,Kaffe & Toast,"1 Hospital Drive, 01-100,  Blk 4, Singapore General Hospital",Asian,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.2795343,103.8353008,63
63,KFC MGMT PTE LTD,1 CHOA CHU KANG STREET 53 03-02 CHOA CHU KANG STADIUM 689236,Fast Food,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3910122,103.7485076,64
64,The Original Boat Noodle,"33 Sengkang West Avenue, 03-K4/K5, The Seletar Mall",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3915208,103.8760834,65
65,Korean Cuisine (S3) @ Cantine Paya Lebar Square,"60 Paya Lebar Road, B1-51, Paya Lebar Square",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.319229,103.892102,66
66,THE COFFEE BEAN  TEA LEAF,80 AIRPORT BOULEVARD 02-04 CHANGI AIRPORT TERMINAL 1 819642,,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3594656,103.9889139,67
67,Bara,"16 Enggor Street, 01-10, Icon Village",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.2745547,103.8443155,68
68,Wok Hey,"53 Ang Mo Kio Avenue 3, 01-36, AMK Hub",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.36953,103.8484398,69
69,Treats,61 Pasir Ris Drive 1,,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3749607,103.9405934,70
70,Tenderfresh Classic,930 YISHUN AVENUE 2 B1-53 NORTHPOINT 769098,,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.4279686,103.8364152,71
71,Malay Food Noodle S2/S3 @ NSTI canteen (Mngd by CYQ Canteen),"91 Jalan Bahar, 01-00, Jalan Bahar Camp NSTI Canteen",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.364808,103.690822,72
72,Bingsu Corner Korean Dessert @ Fusion Spoon,"1 Cluny Road, 06-25, National Parks Board",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3157058,103.8161825,73
73,Central Thai,"65 Airport Boulevard, 03-30, Changi Airport Terminal 3",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3644202,103.9915308,74
74,Brinda's,"162 Bukit Merah Central, 01-3533",Indian,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.2838611,103.8174148,75
75,Streats Hongkong Cafe,180 KITCHENER ROAD 01-01 City Square Mall 208539,,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3111877,103.8566675,76
76,Subway,"180 Kitchener Road, B1-07, City Square Mall",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3111877,103.8566675,77
77,U TASTE,513 TAMPINES CENTRAL 1 01-170 - 520513,,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3536087,103.9441485,78
78,Wok Guru Mini Wok Delights (MR2) @ The Food Market Century Square,"2 Tampines Central 5, 03-19, Century Square",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3523938,103.9435872,79
79,Fortune Popiah (S1) @ Bendemeer Market & Food Centre,"29 Bendemeer Road, 01-47",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.319079,103.863248,80
80,Craze Kitchen,"18 Yishun Avenue 9, 01-02, Junction Nine",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.4335726,103.8415736,81
81,D.U.I.T Ikan Bakar,27 Cosford Road,,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3654436,103.9799756,82
